date,player_id,country,game_id,Cash turnover,Bonus turnover,Cash winnings,Bonus winnings,Turnover,Winnings,Cash result,Bonus result,Gross result
2017-03-21,32,SE,1461,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0
2017-03-21,12,NO,1461,10.0,0.0,1.9983592418856138,0.0,10.0,1.9983592418856138,8.001640758114386,0.0,8.001640758114386
2017-03-22,30,NO,2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-23,39,NO,1913,4.5,0.0,60.650000751018524,0.0,4.5,60.650000751018524,-56.150000751018524,0.0,-56.150000751018524
2017-03-23,27,SE,2327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-23,46,SE,377,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0
2017-03-24,8,SE,2132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-24,36,GB,2651,40.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,40.0
2017-03-25,6,NO,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-25,25,SE,1935,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5
2017-03-26,7,NO,377,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
2017-03-27,34,SE,2188,24.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,24.0
2017-03-27,39,NO,2188,20.0,0.0,3.774653203736916,0.0,20.0,3.774653203736916,16.225346796263082,0.0,16.225346796263082
2017-03-27,18,GB,2659,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75
2017-03-27,18,GB,2425,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2017-03-28,29,SE,88,0.5,0.0,2.0,0.0,0.5,2.0,-1.5,0.0,-1.5
2017-03-28,47,FI,1461,1.399999976158142,0.0,0.0,0.0,1.399999976158142,0.0,1.399999976158142,0.0,1.399999976158142
2017-03-29,11,FI,377,20.0,0.0,2.30806353469439,0.0,20.0,2.30806353469439,17.69193646530561,0.0,17.69193646530561
2017-03-29,34,SE,563,5.0,0.0,0.104911978849745,0.0,5.0,0.104911978849745,4.895088021150255,0.0,4.895088021150255
2017-03-31,22,SE,2556,0.0,0.0,0.0522886753186995,0.0,0.0,0.0522886753186995,-0.0522886753186995,0.0,-0.0522886753186995
2017-03-31,11,FI,690,1.600000023841858,0.0,0.0,0.0,1.600000023841858,0.0,1.600000023841858,0.0,1.600000023841858
2017-03-31,46,SE,690,1.600000023841858,0.0,0.0,0.0,1.600000023841858,0.0,1.600000023841858,0.0,1.600000023841858
2017-04-02,27,SE,399,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0
2017-04-02,17,SE,2555,7.200000286102295,0.0,9.080000191926956,0.0,7.200000286102295,9.080000191926956,-1.8799999058246613,0.0,-1.8799999058246613
2017-04-04,24,SE,399,20.0,0.0,3.1530821377896903,0.0,20.0,3.1530821377896903,16.846917862210308,0.0,16.846917862210308
2017-04-05,27,SE,1463,15.5,0.0,45.5,0.0,15.5,45.5,-30.0,0.0,-30.0
2017-04-05,33,SE,399,20.0,0.0,3.12174817898022,0.0,20.0,3.12174817898022,16.87825182101978,0.0,16.87825182101978
